case_id,hypothesis,case,mechanism,mechanism_path,temperature_K,pressure_bar,equivalence_ratio,egr_fraction,fuel,oxidizer,status,delay_s,delay_ms,peak_dPdt_Pa_s,final_temperature_K,final_pressure_bar,error_type,error,ignition_criterion
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,925,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.001322948965318576,1.322948965318576,417295485733.7425,1925.2055572731156,83.91303613574374,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,935,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.001323576002321144,1.323576002321144,430153103103.87103,1936.953585994983,83.50814912384116,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,945,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013265103059382974,1.3265103059382974,442391568331.6283,1945.4041292125444,82.98621495838529,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,955,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013306053138246981,1.330605313824698,454344389328.43835,1955.4547026974587,82.53554054780048,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,965,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013333142699227122,1.333314269922712,466255857266.55194,1965.7128670096392,82.10194332384107,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_air:phi0.40,partner_dilution,dme25_co_75_air,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,975,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013312414929536832,1.3312414929536833,478260439020.0782,1975.6303888236757,81.66470144489077,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,875,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.0027540125614442506,2.7540125614442506,9364181912.138107,1612.0504120786404,74.79929236668322,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,885,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.002717928845746761,2.7179288457467607,9415412251.601582,1620.925481781558,74.36133172033419,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,895,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.0026858837828214253,2.6858837828214255,9429928425.54477,1629.815380977275,73.93382333272358,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,905,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.0026625626594360156,2.6625626594360154,9411435220.134115,1638.7216191364091,73.51649358685515,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,915,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.002653066169027441,2.653066169027441,9364604246.048298,1647.6449039684146,73.10904341077428,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,925,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.002657691978932512,2.657691978932512,9296793481.749014,1656.5853521055521,72.71115939628334,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,935,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.002672496655620523,2.672496655620523,9216608637.894854,1665.5426952237774,72.3225240145691,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,945,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.00268863329127693,2.68863329127693,9132822817.07395,1674.5164382717287,71.94282302073911,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,955,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.0026945417953643247,2.6945417953643247,9053342596.155056,1683.5059508581915,71.57174939440142,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,965,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.0026792737635107674,2.6792737635107673,8984513155.692514,1692.5105113726784,71.20900493235698,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme_n2_plus4:phi0.40,dilution,pure_dme_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,975,40.0,0.4,,CH3OCH3:1,"O2:1,N2:7.76",ignited,0.0026335699243864,2.6335699243864,8931901077.424469,1701.5293252473773,70.85430060504683,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75_n2_plus4:phi0.40,partner_dilution,dme25_co_75_n2_plus4,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,875,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:7.76",ignited,0.007209972284986976,7.209972284986976,3661243257.722658,1660.1311840484648,75.52258385528674,,,accepted-step maximum dP/dt after qualifying +400 K rise
