deg,P_bar,T_K,pistonVelocity_m_s
-59.0,16.982629984036585,646.6796403622068,-0.4399815917895946
-58.0,17.406093998570192,649.9632341971425,-0.43704869060592133
-57.0,17.845443043668013,653.294415147449,-0.43392156470429916
-56.0,18.301311107514618,656.6737123064183,-0.43060042099458695
-55.0,18.774350825800095,660.1015732452364,-0.4270856113616445
-54.0,19.265232689060763,663.5783545675347,-0.42337763245357657
-53.0,19.774643974473324,667.1043116072456,-0.41947712528092773
-52.0,20.30328735930122,670.6795872098559,-0.415384874632846
-51.0,20.851879168192408,674.3041995357834,-0.411101808316524
-50.0,21.421147201167997,677.978028823865,-0.40662899622648374
-49.0,22.011828083454706,681.7008030530477,-0.4019676492504774
-48.0,22.624664072347358,685.472082441508,-0.39711911801894056
-47.0,23.260399250120162,689.29124272488,-0.3920848915050608
-46.0,23.919775025743018,693.1574571593159,-0.38686659548260605
-45.0,24.60352486194991,697.0696772010912,-0.38146599084870025
-44.0,25.3123681382463,701.0266118227943,-0.3758849718187486
-43.0,26.04700305498465,705.0267054372454,-0.37012556400068525
-42.0,26.80809847900089,709.0681144146574,-0.36418992235565906
-41.0,27.59628462789309,713.1486821967555,-0.358080329052192
-40.0,28.412142488322576,717.2659130341646,-0.3517991912207266
-39.0,29.25619186432356,721.4169444010313,-0.3453490386153416
-38.0,30.128877955219018,725.5985181742016,-0.3387325211892569
-37.0,31.030556370181102,729.8069507040109,-0.33195240659056685
-36.0,31.961476498685396,734.03810195052,-0.32501157758444177
-35.0,32.921763174151046,738.287343913447,-0.31791302940782623
-34.0,33.911396593099845,742.5495286466333,-0.3106598670624333
-33.0,34.93019048545251,746.818956218968,-0.3032553025515985
-32.0,35.977768574403655,751.0893430634582,-0.2957026520663073
-31.0,37.053539417939334,755.3537912443547,-0.28800533312545895
-30.0,38.15666978966006,759.6047592683797,-0.28016686167516525
-29.0,39.28605683507958,763.8340351689964,-0.27219084915162517
-28.0,40.44029933158954,768.0327127006151,-0.2640809995118459
-27.0,41.617668485837584,772.1911715900045,-0.25584110623621775
-26.0,42.81607882067913,776.2990629016399,-0.24747504930668585
-25.0,44.03305983342708,780.3453006776833,-0.23898679216399557
-24.0,45.26572924492144,784.3180611062206,-0.2303803786472336
-23.0,46.51076880057088,788.2047905465489,-0.2216599299186274
-22.0,47.76440372385783,791.9922237897948,-0.212829641376318
-21.0,49.0223870518988,795.6664139481929,-0.2038937795575773
-20.0,50.27999019162708,799.2127753372956,-0.1948566790347027
-19.0,51.532001112375845,802.6161406323756,-0.18572273930559471
-18.0,52.77273162296928,805.8608334336047,-0.17649642168079943
-17.0,53.99603515490767,808.9307571555446,-0.1671822461685878
-16.0,55.195336373929976,811.8095008582724,-0.15778478835943666
-15.0,56.36367375746232,814.4804622561645,-0.14830867631108657
-14.0,57.49375599528737,816.9269876761775,-0.13875858743516137
-13.0,58.57803268970431,819.1325281956501,-0.12913924538616497
-12.0,59.60877935026486,821.0808105816415,-0.11945541695350227
-11.0,60.57819610552618,822.756020997792,-0.10971190895701817
-10.0,61.4785189079726,824.1429987657499,-0.0999135651464044
-9.0,62.302141315968804,825.2274367981662,-0.09006526310468936
-8.0,63.13033908070922,827.1568868958506,-0.080171911155903
-7.0,64.04084303448181,830.9838496873746,-0.07023844527689564
-6.0,65.01983373637327,836.5489567142236,-0.06026982601318694
-5.0,66.05244724615315,843.6925939284906,-0.050271035398628795
-4.0,67.12294798958469,852.2551680337724,-0.04024707387858397
-3.0,68.21493199251354,862.0774099027336,-0.03020295723625102
-2.0,69.31155554850437,873.0007082882277,-0.02014371352170451
-1.0,70.3957829899519,884.8674657636327,-0.010074379983168371
0.0,71.4506461039683,897.5214678302362,0.0
1.0,72.45950696507396,910.808255486258,0.010074379983168371
2.0,73.40631561529526,924.5754913137969,0.02014371352170451
3.0,74.27585414449001,938.6733093309028,0.03020295723625102
4.0,75.05395930805659,952.9546394716305,0.04024707387858397
5.0,75.7277168261897,967.275498563623,0.050271035398628795
6.0,76.28562186511492,981.495241010705,0.06026982601318694
7.0,76.71770180642879,995.4767639762083,0.07023844527689564
8.0,77.0155991499644,1009.0866636065532,0.080171911155903
9.0,77.17261414837556,1022.1953406335751,0.09006526310468936
10.0,77.18370842489519,1034.6770554504253,0.0999135651464044
11.0,77.04547228335014,1046.4099343816906,0.10971190895701817
