cycle,cycle_energy_balance_residual_J,cycle_max_delta_K,external_energy_J,gas_energy_J,h_model,liner_material,liner_tdc_end_K,max_temperature_K,min_path_hot_clearance_3um,min_temperature_K,piston_material,piston_skirt_end_K,skirt_liner_tdc_hot_clearance_3um
48,1.6559487647398068,0.4559825110885072,-0.27021941954085354,1.9261681842806604,constant_h,steel_4140,327.0778869596527,327.1971293712849,1.9395373131665394,317.2303297359338,al_4032_t6,322.9272095508834,2.291343693025638
49,1.647877889687091,0.4546736123689925,-0.2754918081617971,1.923369697848888,constant_h,steel_4140,327.42856827523565,327.6491494083765,1.9203283553288486,317.66690723278845,al_4032_t6,323.3818831632524,2.271916102344562
50,1.6398538218993868,0.45336742388730045,-0.28073159435323414,1.920585416252621,constant_h,steel_4140,327.77700161790926,328.0998381787028,1.9011134809492347,318.10229031978463,al_4032_t6,323.8352505871397,2.252480528875722
51,1.6318761640748694,0.452063410228277,-0.2859390471915916,1.917815211266461,constant_h,steel_4140,328.1232120131662,328.54920502179806,1.8818932074626815,318.5364453565242,al_4032_t6,324.28731399736796,2.2330380803685657
52,1.6239445279517906,0.45076110372792755,-0.29111443271947635,1.915058960671267,constant_h,steel_4140,328.4672233438559,328.99725799100867,1.8626680995144085,318.969342518509,al_4032_t6,324.7380751010959,2.213589844343389
53,1.616058533652413,0.449460097245435,-0.2962580139612991,1.912316547613712,constant_h,steel_4140,328.8090584885332,329.4440040018438,1.843438763853733,319.4009553987696,al_4032_t6,325.1875351983413,2.194136890218523
54,1.6082178090940937,0.4481600376691972,-0.3013700509498594,1.909587860043953,constant_h,steel_4140,329.1487394396907,329.8894489643796,1.8242058445032683,319.83126065134644,al_4032_t6,325.6356952360105,2.1746802709401436
55,1.6004219894603395,0.44686062008349836,-0.306450800760899,1.9068727902212386,constant_h,steel_4140,329.48628740494445,330.33359790141304,1.80497001822566,320.260237672238,al_4032_t6,326.082555856094,2.1552210242150593
56,1.5926707167254848,0.44556158254533784,-0.3115005175532102,1.904171234278695,constant_h,steel_4140,329.8217228937487,330.77645505390683,1.7857319903002988,320.68786831388957,al_4032_t6,326.52811743863936,2.135760173429979
57,1.5849636392272326,0.4442627013993956,-0.3165194526125593,1.9014830918397918,constant_h,steel_4140,330.15506579181493,331.21802397507605,1.7664924905940182,321.1141366296946,al_4032_t6,326.97238014003875,2.1162987283220858
58,1.5773004112819429,0.4429637870845795,-0.32150785439800217,1.898808265679945,constant_h,steel_4140,330.48633542508173,331.6583076143333,1.7472522699355508,321.5390286453543,al_4032_t6,327.41534392712333,2.0968376854595405
59,1.569680692838105,0.4416646803740605,-0.3264659685895087,1.8961466614276137,constant_h,steel_4140,330.8155506147826,332.09730839216996,1.7280120967795298,321.9309519300113,al_4032_t6,327.8570086074974,2.077378028578103
60,1.5621041491638885,0.4403652490190666,-0.3313940381361501,1.8934981873000387,constant_h,steel_4140,331.1427297249299,332.5350282669413,1.7087727541404973,322.2584886587579,al_4032_t6,328.29737385651646,2.057920728792517
61,1.5545704505651081,0.43906538474141144,-0.33629230330422116,1.8908627538693292,constant_h,steel_4140,331.4678907033352,332.97146879441726,1.6895350368031359,322.58404642076084,al_4032_t6,328.73643924125787,2.038466744740397
62,1.5470792721304343,0.4377650005419582,-0.3411610017248073,1.8882402738552415,constant_h,steel_4140,331.79105111710084,333.40663118085985,1.6702997487696436,322.9076409708326,al_4032_t6,329.1742042417998,2.019017022647951
63,1.5396302935008468,0.4364640282987011,-0.3460003684405533,1.8856306619414,constant_h,steel_4140,332.1122281833953,333.8405163303272,1.6510677009460295,323.22928789276773,al_4032_t6,329.61066827009853,1.9995724963548511
64,1.5322231986607517,0.43516241661762933,-0.35081063595139783,1.8830338346121496,constant_h,steel_4140,332.43143879618583,334.27312488680946,1.631839709044236,323.54900260235337,al_4032_t6,330.04583068671616,1.9801340873195628
65,1.524857675748566,0.43386012890982784,-0.35559203425905184,1.8804497100076176,constant_h,steel_4140,332.74869954951265,334.7044572717456,1.6126165916912072,323.8668003502901,al_4032_t6,330.479690815626,1.960702704590922
66,1.5175334168845578,0.43255714167906945,-0.3603447909102283,1.877878207794786,constant_h,steel_4140,333.0640267578001,335.1345137174174,1.5933991687173688,324.1826962250311,al_4032_t6,330.91224795730506,1.9412792447717209
67,1.5102501180142076,0.43125344298374557,-0.36506913103848815,1.8753192490526958,constant_h,steel_4140,333.3774364736155,335.56329429665317,1.5741882596245205,324.49670515552435,al_4032_t6,331.3435014002888,1.92186459198318
68,1.5030074787654357,0.4299490310718852,-0.3697652774047395,1.8727727561701752,constant_h,steel_4140,333.6889445032486,335.99079894923455,1.5549846822144886,324.80884191386843,al_4032_t6,331.7734504313607,1.9024596178294217
69,1.4958052023181847,0.4286439131565771,-0.3744334504364035,1.8702386527545882,constant_h,steel_4140,333.99856642040186,336.4170275053626,1.5357892513527815,325.11912111787825,al_4032_t6,332.20209434451726,1.8830651813548371
70,1.488642995285133,0.42733810432395103,-0.37907386826520534,1.8677168635503383,constant_h,steel_4140,334.3063175782627,336.84197970648523,1.5166027778814595,325.4275572335599,al_4032_t6,332.6294324488412,1.8636821290236583
71,1.481520567602338,0.4260316265599613,-0.3836867467637119,1.86520731436605,constant_h,steel_4140,334.612213120181,337.2656552237777,1.4974260676394735,325.73416457750517,al_4032_t6,333.0554640754012,1.8443112946977536
72,1.4744376324287654,0.42472450788096694,-0.3882722995805804,1.8627099320093459,constant_h,steel_4140,334.916267989136,337.6880536745236,1.4782599206011326,326.03895731919977,al_4032_t6,333.48018858328214,1.8249534996250816
73,1.467393906053808,0.42341678155537465,-0.39283073817467185,1.8602246442284798,constant_h,steel_4140,335.2184969361592,338.10917463661133,1.4591051301175995,326.34194948326063,al_4032_t6,333.9036053648375,1.8056095524432436
74,1.4603891078119349,0.42210848541571977,-0.3973622718479768,1.8577513796599117,constant_h,steel_4140,335.51891452786265,338.52901766136364,1.4399624822436508,326.64315495159167,al_4032_t6,334.32571385025324,1.7862802491883656
75,1.453422960003789,0.42079966124089196,-0.4018671077774847,1.8552900677812736,constant_h,steel_4140,335.81753515317627,338.9475822848601,1.4208327551541444,326.9425874654763,al_4032_t6,334.74651351149413,1.766966373315526
76,1.4464951878229892,0.419490354204072,-0.40634545104603903,1.8528406388690282,constant_h,steel_4140,336.11437302941135,339.3648680379303,1.401716718629764,327.240260627599,al_4032_t6,335.1660038656982,1.7476686957360599
77,1.4396055192881727,0.4181806123837646,-0.4107975046722176,1.8504030239603904,constant_h,steel_4140,336.40944220773196,339.7808744549499,1.3826151336155945,327.5361879040077,al_4032_t6,335.58418447808197,1.7283879748521969
78,1.4327536851796232,0.4168704863306516,-0.4152234696392949,1.847977154818918,constant_h,steel_4140,336.7027565781125,340.1956010815682,1.3635287518374284,327.8303826260152,al_4032_t6,336.0010549644126,1.7091249566130173
79,1.425939418980155,0.41556002867577035,-0.4196235449233562,1.8455629639035112,constant_h,steel_4140,336.9943298738515,340.60904748148846,1.3444583154775813,328.1228579920451,al_4032_t6,336.4166149930884,1.689880374574848
80,1.4191624568196728,0.4142492937845077,-0.42399792752062215,1.8431603843402948,constant_h,steel_4140,337.28417567568897,341.02121324239675,1.325404556896892,328.413627069428,al_4032_t6,336.8308642868729,1.6706549499705403
81,1.4124225374232204,0.412938337454932,-0.4283468124739746,1.840769349897195,constant_h,steel_4140,337.5723074155846,341.43209798113463,1.3063681984046838,328.70270279614624,al_4032_t6,337.2438026243278,1.6514493917831885
82,1.4057194020620107,0.4116272166352246,-0.4326703928988162,1.838389794960827,constant_h,steel_4140,337.85873838019825,341.84170134819533,1.2873499520615894,328.9900979825338,al_4032_t6,337.65542984096305,1.6322643968313955
83,1.399052794507249,0.41031598919272483,-0.4369688600082339,1.836021654515483,constant_h,steel_4140,338.14348171410427,342.2500230316198,1.268350519531225,329.2758253129324,al_4032_t6,338.0657458301558,1.6131006498589784
84,1.392422460986485,0.409004713687807,-0.4412424031375221,1.8336648641240072,constant_h,steel_4140,338.4265504227786,342.65706276035115,1.2493705919531806,329.5598973473073,al_4032_t6,338.4747505438436,1.5939588236335567
85,1.3858281501421503,0.40769344919118566,-0.4454912097681366,1.831319359910287,constant_h,steel_4140,338.70795737537594,343.06282030711515,1.230410849848873,329.8423265228229,al_4032_t6,338.88244399303477,1.5748395790433634
86,1.3792696129922173,0.40638225510946313,-0.44971546555107683,1.8289850785432942,constant_h,steel_4140,338.98771530733404,343.4672954908723,1.211471963054933,330.12312515538594,al_4032_t6,339.28882624814423,1.5557435652073792
87,1.3727466028926676,0.40507119103807554,-0.4539153543297322,1.8266619572223997,constant_h,steel_4140,339.2658368228158,343.87048817889064,1.1925545906752433,330.40230544115,al_4032_t6,339.6938974391823,1.5366714195836906
88,1.366258875501649,0.4037603166320878,-0.45809105816224455,1.8243499336638935,constant_h,steel_4140,339.54233439701034,344.27239828848275,1.1736593810613982,330.6798794579905,al_4032_t6,340.0976577558144,1.5176237680813998
